NameId,coordX,coordY,coordZ,probability
001,-127.56350118515968,-175.20624837873459,-298.87760058939455,0.9788095318824752
001,104.51676779391289,-211.60184217093467,-226.71800647079942,0.8598762052888185
001,-49.91428447363852,-225.39399523137092,-227.04750839769838,0.7366503951100596
001,45.730817401428226,-166.64834376273632,-296.6198521196842,0.708792618554545
001,114.48463890852452,-85.80356214044573,-366.15884218513963,0.6622472425449857
001,-113.84334302542686,-217.60258019564628,-277.7716792464256,0.5970376342859042
002,44.68255342622376,78.57601284980774,-62.08417338335039,0.6001000787109748
003,63.20164376497269,-82.34396407008171,823.259617176652,0.9410864377050527
003,70.57101827859879,-140.9416882097721,877.1739724248648,0.8494004982329753
003,105.54411458969116,-166.2858670502901,805.5583107739687,0.8194753343107866
003,-95.3657057583332,-160.2203262746334,941.4168798297644,0.8137891707319003
003,-78.32645139098167,-122.47598522901535,934.4975985035301,0.7591331260189665
003,-52.994260758161545,-209.47476026415825,917.2906663984061,0.6905137926915498
003,101.80645340681076,-184.38534255325794,813.2340787917376,0.6821432206488016
004,-51.92500508537006,10.638034120202008,-187.70429474598984,0.7169544552582389
004,-32.936741105815884,10.933671295642824,-100.07786112017254,0.6154068429693836
005,101.31742502828217,-66.06052295863631,-259.51601991259577,0.7662080657401547
005,43.13280026693917,-67.71039390563968,-123.32122250848533,0.6472358250303243
006,91.10551836825178,149.90392673066194,-426.2802703976631,0.9935870428681384
006,2.660647777088144,173.79404109767015,-405.4728111177683,0.9927690848710853
006,-23.444670769207022,192.57548447003893,-390.68787698447704,0.9696829410764172
006,90.27144032455251,198.64855980923707,-517.0999617874622,0.8506792533458238
006,123.15626084543035,143.76420825770433,-552.3162748515606,0.7942098188291326
006,111.1710547182636,116.30385939827497,-549.5412119925022,0.6157880641813394
008,82.21161700705909,55.389782340127,-149.93923471868044,0.9685857968574665
008,-69.9212110497532,56.60251282234768,-199.89577202498918,0.8800991667767911
008,-53.93339349408723,109.89764441629029,-204.40858952701097,0.8757469925646104
